simpanan_ref,koperasi_ref,anggota_ref,periode_pembayaran,jumlah_simpanan,status,dibuat_pada,dibayar_pada
SIMPAN-FB27D458BD82,KOP-AC0D0FFB3A40,AGT-030275E14C7C,Simpanan Pokok,100000,PAID,2025-02-27 08:20:21,2025-02-02 11:29:07
SIMPAN-28947138BB20,KOP-AC0D0FFB3A40,AGT-030275E14C7C,Simpanan Wajib,50000,PAID,2025-08-05 20:39:01,2025-11-19 07:44:29
SIMPAN-D05C70BFF706,KOP-AC0D0FFB3A40,AGT-030275E14C7C,Simpanan Wajib,50000,UNPAID,2026-04-15 05:12:06,2025-09-29 05:05:01
SIMPAN-5E32E4F293D7,KOP-AC0D0FFB3A40,AGT-030275E14C7C,Simpanan Pokok,100000,UNPAID,2025-09-27 21:17:02,2026-03-15 21:14:44
SIMPAN-298388052755,KOP-AC0D0FFB3A40,AGT-030275E14C7C,Simpanan Wajib,50000,PAID,2025-05-22 18:33:04,2026-05-21 03:18:35
SIMPAN-EE287B4974E7,KOP-AC0D0FFB3A40,AGT-33E1C9936A50,Simpanan Pokok,50000,PAID,2025-09-27 18:13:32,2025-07-02 18:29:02
SIMPAN-32ED9D824C59,KOP-AC0D0FFB3A40,AGT-33E1C9936A50,Simpanan Pokok,100000,PAID,2026-06-04 22:10:18,2025-07-23 05:33:52
SIMPAN-F0429D17A59F,KOP-AC0D0FFB3A40,AGT-33E1C9936A50,Simpanan Wajib,25000,UNPAID,2026-06-28 00:01:14,2025-11-28 17:47:22
SIMPAN-4F183AE12CCB,KOP-AC0D0FFB3A40,AGT-33E1C9936A50,Simpanan Pokok,25000,PAID,2025-11-11 08:43:05,2025-03-01 08:46:11
SIMPAN-AA40BF45FC5B,KOP-AC0D0FFB3A40,AGT-B1FCCEBEA929,Simpanan Wajib,100000,PAID,2025-05-04 09:01:33,2025-08-19 02:19:52
SIMPAN-38CB842AF190,KOP-AC0D0FFB3A40,AGT-B1FCCEBEA929,Simpanan Wajib,25000,UNPAID,2025-08-24 21:25:28,2025-08-14 00:15:42
SIMPAN-F5F204DAC553,KOP-AC0D0FFB3A40,AGT-B1FCCEBEA929,Simpanan Pokok,100000,UNPAID,2025-03-02 08:20:07,2025-03-11 01:08:37
SIMPAN-8CBDA95EB7C8,KOP-AC0D0FFB3A40,AGT-91C5A38B03AF,Simpanan Wajib,50000,PAID,2025-02-25 23:47:29,2025-04-11 02:12:24
SIMPAN-52E5F7CCF8C8,KOP-AC0D0FFB3A40,AGT-91C5A38B03AF,Simpanan Wajib,100000,PAID,2025-04-22 09:03:11,2025-07-16 06:55:31
SIMPAN-226B1A75BBA2,KOP-AC0D0FFB3A40,AGT-91C5A38B03AF,Simpanan Wajib,25000,PAID,2025-07-07 10:08:29,2026-04-19 09:05:42
SIMPAN-B2CE4E901DBF,KOP-AC0D0FFB3A40,AGT-5047E3E38329,Simpanan Wajib,50000,PAID,2025-10-20 15:24:04,2026-05-14 05:38:09
SIMPAN-AB752B020D11,KOP-AC0D0FFB3A40,AGT-75F49C9A5D6C,Simpanan Wajib,25000,UNPAID,2025-09-10 21:04:40,2025-02-10 22:33:03
SIMPAN-FA7A5494D717,KOP-AC0D0FFB3A40,AGT-75F49C9A5D6C,Simpanan Pokok,50000,UNPAID,2026-06-20 11:31:07,2025-09-25 07:26:12
SIMPAN-C0046A56B4FE,KOP-AC0D0FFB3A40,AGT-1B2A10DEE720,Simpanan Pokok,50000,PAID,2025-06-11 15:57:13,2025-11-06 22:16:13
SIMPAN-497B8F661ABE,KOP-AC0D0FFB3A40,AGT-4462265E9301,Simpanan Wajib,50000,PAID,2025-04-05 23:05:36,2026-03-10 10:04:25
SIMPAN-F0E51440320E,KOP-AC0D0FFB3A40,AGT-4462265E9301,Simpanan Pokok,25000,PAID,2025-05-14 23:11:47,2025-09-26 05:52:58
SIMPAN-82F9879FFF40,KOP-AC0D0FFB3A40,AGT-4462265E9301,Simpanan Wajib,100000,UNPAID,2026-03-14 20:25:19,2025-01-10 04:04:23
SIMPAN-DD3A7E058501,KOP-AC0D0FFB3A40,AGT-4462265E9301,Simpanan Pokok,100000,PAID,2025-02-06 13:26:33,2025-06-01 15:38:53
SIMPAN-B2B3539D1FD4,KOP-AC0D0FFB3A40,AGT-4462265E9301,Simpanan Pokok,25000,PAID,2026-01-09 01:27:09,2026-01-02 07:38:55
SIMPAN-D0688AD59D1A,KOP-AC0D0FFB3A40,AGT-AF5E4EE2B844,Simpanan Wajib,25000,PAID,2025-08-16 07:15:58,2026-04-17 12:43:50
SIMPAN-5B8B429D0768,KOP-AC0D0FFB3A40,AGT-6B27A2471899,Simpanan Wajib,25000,PAID,2026-03-21 12:35:09,2025-11-18 15:53:19
SIMPAN-2B120F7B604B,KOP-AC0D0FFB3A40,AGT-6B27A2471899,Simpanan Pokok,50000,UNPAID,2025-07-14 09:16:26,2025-02-15 15:52:34
SIMPAN-E51A0135C16F,KOP-AC0D0FFB3A40,AGT-6B27A2471899,Simpanan Pokok,100000,UNPAID,2025-07-21 13:15:39,2026-03-18 02:32:51
SIMPAN-C88D8E4394AA,KOP-AC0D0FFB3A40,AGT-6B27A2471899,Simpanan Wajib,100000,PAID,2025-05-08 10:56:03,2026-06-04 11:15:38
SIMPAN-88AEECDBC2D9,KOP-AC0D0FFB3A40,AGT-6B27A2471899,Simpanan Wajib,50000,PAID,2025-10-30 20:11:07,2025-05-11 06:59:04
SIMPAN-B359D4952D5D,KOP-AC0D0FFB3A40,AGT-420C2B3B2F7C,Simpanan Pokok,50000,UNPAID,2025-12-10 03:24:00,2025-08-29 11:18:07
SIMPAN-5A39407182DA,KOP-AC0D0FFB3A40,AGT-420C2B3B2F7C,Simpanan Pokok,25000,PAID,2025-01-26 01:40:57,2025-09-08 17:17:57
SIMPAN-944AAC5EEAD2,KOP-AC0D0FFB3A40,AGT-3E2437472DBD,Simpanan Pokok,100000,UNPAID,2026-04-21 01:49:42,2025-09-13 04:25:06
SIMPAN-804DCAB6AD37,KOP-AC0D0FFB3A40,AGT-3E2437472DBD,Simpanan Wajib,25000,PAID,2026-06-28 20:20:59,2025-11-21 16:06:48
SIMPAN-AE6C4F4F8699,KOP-AC0D0FFB3A40,AGT-DEBDF18E7717,Simpanan Wajib,100000,PAID,2025-05-22 05:29:29,2025-08-25 13:56:45
SIMPAN-06EB388FD1B6,KOP-AC0D0FFB3A40,AGT-DEBDF18E7717,Simpanan Pokok,100000,PAID,2025-03-07 15:06:17,2026-02-22 12:02:49
SIMPAN-6A91B392B8A1,KOP-AC0D0FFB3A40,AGT-DEBDF18E7717,Simpanan Wajib,50000,PAID,2025-07-31 15:17:49,2026-02-03 21:15:56
SIMPAN-F40627BE0321,KOP-AC0D0FFB3A40,AGT-DEC809E316F5,Simpanan Wajib,100000,PAID,2026-04-24 04:38:48,2026-07-01 00:58:54
SIMPAN-22839274307A,KOP-AC0D0FFB3A40,AGT-DEC809E316F5,Simpanan Wajib,100000,UNPAID,2025-01-28 03:03:23,2026-03-15 04:56:26
SIMPAN-3517AE2C52CD,KOP-AC0D0FFB3A40,AGT-DEC809E316F5,Simpanan Wajib,25000,PAID,2025-09-24 13:48:09,2025-12-02 07:42:22
SIMPAN-5F317226E43B,KOP-AC0D0FFB3A40,AGT-ACE05BF043B9,Simpanan Pokok,100000,PAID,2025-09-02 04:35:44,2026-04-30 04:09:53
SIMPAN-D6FFF2DC1D37,KOP-AC0D0FFB3A40,AGT-ACE05BF043B9,Simpanan Pokok,50000,UNPAID,2025-09-20 13:25:51,2025-06-21 22:03:35
